,id,catalog.id,catalog.title.de,catalog.country.id,description.en,title.en,publisher.name,publisher.type,publisher.email,publisher.resource,catalog.title.nl,catalog.title.sv,publisher.homepage,catalog.title.en,catalog.title.fr,catalog.title.it,catalog.title.lv,catalog.title.es,catalog.title.ga,catalog.title.hu,catalog.title.pt,catalog.title.fi,catalog.title.sk,catalog.title.no,catalog.title.sl,catalog.title.ro,catalog.title.hr,category
0,025856e5-1a50-4cf1-8091-73ca6dfd9a6b,gdi-de,GDI-DE,de,WFS Development Plan ‘Gänberg + Simplified Change Gänsberg’ of the city of Herrenberg.,WFS Gänberg + Simplified change Gänsberg,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
1,679e8cf6-d069-94c1-e5d4-03cbbcb72faf,gdi-de,GDI-DE,de,"Development plans of Daun: Development plan ""K 35"" I of the city of Daun, district Waldkönigen",Daun - K35 I,LVermGeo im Auftrag von Daun,Organization,mailto:poststelle@vermkv.rlp.de,,,,,,,,,,,,,,,,,,,
2,f4cf8e6d-15cd-41a2-bbfa-eff4358ef1c3,gdi-de,GDI-DE,de,"WMS service of the development plan “Lotenbergstraße 3.Change” of the municipality of Eschenbach from XPlanung 5.0. Description: The development plan contains the legally binding determinations for the urban planning system. In principle, the development plan must be developed from the land use plan. Eschenbach, QualifiedBPlan ‘Lotenbergstraße 3.Change’ § 5 Dorfgebiet (MD).",WMS XPlanung BPL “Lotenbergstraße 3.Change”,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
3,8790d007-e85a-4172-ad16-a893cf95b326,gdi-de,GDI-DE,de,WMS service of the development plan “Amendment 2 stations” of the municipality of Ingoldingen from XPlanung 5.0. Description: WA.,WMS XPlanung BPL “Amendment 2 stations”,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
4,e2aba9e7-118f-4b02-a1d8-7508e1bd0044,gdi-de,GDI-DE,de,WMS development plan 'Beim Bierkeller II' of the municipality of Magstadt.,WMS At the Beer Cellar II,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
5,f667eb13-7590-4cf6-b730-a2a1b950a1bf,gdi-de,GDI-DE,de,Altenburg: Development plan “Lidl Kauerndorfer Allee”,Altenburg: Development plan “Lidl Kauerndorfer Allee”,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
6,c1146305-d0e6-45e8-8372-3cf17cab0321,gdi-de,GDI-DE,de,WFS service of the development plan “Bebauungsplan Kochsbuehn” of the city of Bühl from XPlanung 5.0. Description: Kochsbuehn.,WFS XPlanung BPL “Building Plan Kochsbuehn”,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
7,312e3065-caf8-42bb-87cf-4b34ab3fdaf1,gdi-de,GDI-DE,de,WMS to the development plan Interior Regulations IV (Sulingen) Wiesenweg (origin plan),WMS to the development plan Interior Regulations IV (Sulingen) Wiesenweg (origin plan),,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
8,00d6aabe-3966-497f-8d71-6de8f3086e30,gdi-de,GDI-DE,de,The data set describes the trees of the urban green and traffic area in the Hanseatic city of Lübeck.,Trees of the Hanseatic City of Lübeck,,,,,,,,,,,,,,,,,,,,,,Environment
9,de-pangaea-dataset817416,gdi-de,GDI-DE,de,,Ультрафіолетові вимірювання від станції Таманрассет (2011-08),,,,,,,,,,,,,,,,,,,,,,Science and technology
