,id,catalog.id,catalog.title.de,catalog.country.id,description.en,title.en,publisher.name,publisher.type,publisher.email,publisher.homepage,catalog.title.en,publisher.resource,catalog.title.nl,catalog.title.no,catalog.title.sv,catalog.title.sl,catalog.title.fr,catalog.title.ga,catalog.title.it,catalog.title.es,catalog.title.sk,catalog.title.lv,catalog.title.ro,catalog.title.pt,catalog.title.fi,catalog.title.hu,catalog.title.da,catalog.title.cs,catalog.title.hr,catalog.title.pl,category
0,025856e5-1a50-4cf1-8091-73ca6dfd9a6b,gdi-de,GDI-DE,de,WFS Development Plan ‘Gänberg + Simplified Change Gänsberg’ of the city of Herrenberg.,WFS Gänberg + Simplified change Gänsberg,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
1,8651a560-33ca-4ace-b050-f40785d28206,gdi-de,GDI-DE,de,Building plan “Schafhof II and Schafhof III (Change)” of the city of Kirchheim under Teck based on an XPlanung dataset in version 5.0.,Inspire data set BPL “Schafhof II and Schafhof III (amendment)”,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
2,975292e0-a0d2-475c-94e7-3305e1f783fe,gdi-de,GDI-DE,de,"WFS service of the city of Tuttlingen’s “Gränzbotenareal revision” development plan, transformed to INSPIRE, based on an XPlanung dataset in version 5.0.",WFS INSPIRE BPL Gränzbotenareal revision,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
3,97d9fd47-e9f4-4d26-94f7-54636a0061d1,gdi-de,GDI-DE,de,"WMS service of the urban development plan “Auf dem Lau” of the city of Meßstetten, transformed according to INSPIRE, based on an XPlanung dataset in version 5.0.",WMS INSPIRE BPL On the go,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
4,9b3dbbb6-e97c-4629-869d-b6cc3ffc0b26,gdi-de,GDI-DE,de,Inspire Service for the Building Plan Service (XPlanGML 5.0.1) for the Goldrain III Plan — 2nd Change of the City of Ellwangen (Jagst) (INSPIRE GML),Inspire Service for the Building Plan XPlanung Service for the Goldrain III Plan — 2nd Amendment (XPlanGML 5.0.1) (INSPIRE GML),,,,,,,,,,,,,,,,,,,,,,,,,
5,f676a192-5f59-4d19-a9df-a9d50a565f7f,gdi-de,GDI-DE,de,Service for the plan Weidenfeldle industrial park — modification and expansion of the municipality of Unterschneidheim (XPlanGML 5.0),Service for the plan Weidenfeldle Industrial Park — Change and Extension (XPlanGML 5.0),,,,,,,,,,,,,,,,,,,,,,,,,
6,3867f31a-cafa-4ca2-bd10-c6a1dd29c73e,gdi-de,GDI-DE,de,"WMS service of the development plan “Industrial area change Flst. 2629” of the municipality of Straubenhardt from XPlanung 5.0. Description: Industrial area change Flst. 2629, primary use GE.",WMS XPlanung BPL “Industrial Area Change Flst. 2629”,,,,,,,,,,,,,,,,,,,,,,,,,
7,6bf3cd83-8541-4a3e-8cd3-0aa49d648c5f,gdi-de,GDI-DE,de,WFS service of the development plan “Der Lower Ösch Amendment 2” of the town of Stockach from XPlanung 5.0. Description: The building area is designated as WA..,WFS XPlanung BPL “The Lower Ösch Amendment 2”,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
8,6d196299-5036-4827-a9be-781323dd8f2a,gdi-de,GDI-DE,de,"WMS service of the development plan ""Ergänzungssatzung ''Flst. 196/2''"" of the town of Schelklingen from XPlanung 5.4. Description: Permissibility requirements under planning law for the construction of a residential building on a sub-area of parcel 196/2.","WMS XPlanung BPL ""Supplementary Statute ''Flst. 196/2''""",,,,,,,,,,,,,,,,,,,,,,,,,
9,faf0a7bb-9414-4ae7-891c-39f905bf3f43,gdi-de,GDI-DE,de,Clarification Statute Am Gutshof 2-5 OT Vulkow 2nd Amendment,Clarification Statute_Am_Gutshof_2-5_OT_Wulkow,Amt Lebus,Organization,mailto:buerodesamtsdirektors@amt-lebus.de,,,,,,,,,,,,,,,,,,,,,,"Justice, legal system and public safety"
10,e6643141-cc42-0002-ff42-f7e58786cc4a,gdi-de,GDI-DE,de,"Description of the INSPIRE Download Service (predefined Atom): Development plan ""Wohngebiet Herrenfeld Teil B und C 2"" of the city of Germersheim - The link(s) for downloading the data sets will be generated dynamically from Get Map calls to a WMS interface",INSPIRE Download Service (predefined ATOM) for dataset residential area Herrenfeld part B and C2 2.,LVermGeo im Auftrag von Germersheim,Organization,mailto:poststelle@vermkv.rlp.de,,,,,,,,,,,,,,,,,,,,,,
11,f21df704-7592-42d3-8df3-cc92c9bb5e2b,gdi-de,GDI-DE,de,Outdoor articles Fohren,Outdoor articles Fohren,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, fisheries, forestry and food"
12,5534a04b-5bdb-499e-9ae2-50802e0efd56,gdi-de,GDI-DE,de,Gewerbegebiet Harbergen-Ost 1. Erweiterung (Ursprungsplan),Gewerbegebiet Harbergen-Ost 1. Erweiterung (Ursprungsplan),,,,,,,,,,,,,,,,,,,,,,,,,"Justice, legal system and public safety"
13,e0912e9b-25e7-4298-ae2c-8caa234dc2a0,gdi-de,GDI-DE,de,"WFS service of the urbanisation plan “Eiterbach I 2. Partial Change and Extension” of the municipality Heiligkreuzsteinach, which was transformed according to INSPIRE, based on an XPlanung dataset in version 5.0.",WFS INSPIRE BPL Eiterbach I 2. Partial amendment and extension,,,,,,,,,,,,,,,,,,,,,,,,,
14,de-pangaea-dataset965260,gdi-de,GDI-DE,de,,Meteorological synoptical observations from station Syowa (2023-09),,,,,,,,,,,,,,,,,,,,,,,,,Science and technology
15,3bb1b29c-78af-43c8-95ce-ca4a892a4482,gdi-de,GDI-DE,de,ATOM-Feed) - Gelände Schröder (Gr. Mackenstedt) (3. Änderung) der Gemeinde Stuhr,ATOM-Feed) - Gelände Schröder (Gr. Mackenstedt) (3. Änderung) der Gemeinde Stuhr,,,,,,,,,,,,,,,,,,,,,,,,,
16,07a254d7-33ad-4098-a197-2df8b69a489c,gdi-de,GDI-DE,de,WFS zum Bebauungsplan Pattacker (Ursprungsplan),WFS zum Bebauungsplan Pattacker (Ursprungsplan),,,,,,,,,,,,,,,,,,,,,,,,,
17,e7de604d-63fe-428b-9af1-e72dfb3ac1f5,gdi-de,GDI-DE,de,WMS zum Bebauungsplan Im Walde I (3. Änderung),WMS zum Bebauungsplan Im Walde I (3. Änderung),,,,,,,,,,,,,,,,,,,,,,,,,
